hs1	172628340	172635156	FASLG
hs1	223968514	224033428	TP53BP2
hs2	112524494	112638401	ANAPC1
hs2	24300447	24307195	TP53I3
hs3	134197430	134201757	ANAPC13
hs4	145916523	146017254	ANAPC10
hs4	25379048	25420003	ANAPC4
hs5	112043413	112179812	APC
hs7	150773793	150777872	FASTK
hs7	50660627	50800054	GRB10
hs9	140069388	140083045	ANAPC2
hs10	73983671	73992876	ANAPC16
hs10	90750587	90774205	FAS
hs11	108098326	108236233	ATM
hs11	128805492	128807710	TP53AIP1
hs11	74977201	75062723	ARRB1
hs12	110811947	110841552	ANAPC7
hs12	121746281	121790159	ANAPC5
hs13	32890569	32972907	BRCA2
hs13	48877954	49054230	RB1
hs15	43699579	43785297	TP53BP1
hs17	41197693	41276133	BRCA1
hs17	7572906	7579935	TP53
hs17	79852346	79858005	ANAPC11
hs17	80036949	80054321	FASN
hs19	1452950	1470269	APC2
hs19	18170360	18197661	IL12RB1
hs20	39766269	39803188	PLCG1
hs20	45315390	45318091	TP53RK
